Year,Sex,NACE Rev 2 Sector,Median Annual Earnings (€),Annual Change (%)
2022,Both sexes,Accommodation and food service activities (I),24099.0,1.3
2022,Both sexes,Information and communication (J),71494.0,8.2
2022,Both sexes,"Financial, insurance and real estate activities (K,L)",54999.0,5.1
2022,Both sexes,"Professional, scientific and technical activities (M)",46674.0,2.8
2022,Both sexes,Administrative and support service activities (N),34377.0,5.4
2022,Both sexes,Public administration and defence; compulsory social security (O),52459.0,6.0
2022,Both sexes,Education (P),51692.0,5.9
2022,Both sexes,Human health and social work activities (Q),40285.0,4.6
2022,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",25915.0,-9.3
2022,Both sexes,All NACE economic sectors,41823.0,1.5
2022,Male,Industry (B to E),48620.0,2.0
2022,Male,Construction (F),42669.0,-2.1
2022,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),35635.0,2.4
2022,Male,Transportation and storage (H),42780.0,2.7
2022,Male,Accommodation and food service activities (I),27161.0,3.6
2022,Male,Information and communication (J),76775.0,7.7
2022,Male,"Financial, insurance and real estate activities (K,L)",66572.0,5.7
2022,Male,"Professional, scientific and technical activities (M)",54339.0,2.9
2022,Male,Administrative and support service activities (N),37171.0,6.7
2022,Male,Public administration and defence; compulsory social security (O),55186.0,5.3
2022,Male,Education (P),59294.0,4.9
2022,Male,Human health and social work activities (Q),42322.0,5.8
2022,Male,"Arts, entertainment, recreation and other service activities (R,S)",30893.0,-2.2
2022,Male,All NACE economic sectors,45537.0,1.4
2022,Female,Industry (B to E),41726.0,1.0
2022,Female,Construction (F),29112.0,-3.8
2022,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25256.0,-0.5
2022,Female,Transportation and storage (H),37000.0,10.8
2022,Female,Accommodation and food service activities (I),21446.0,-0.5
2022,Female,Information and communication (J),61884.0,10.5
2022,Female,"Financial, insurance and real estate activities (K,L)",47001.0,3.5
2022,Female,"Professional, scientific and technical activities (M)",40000.0,2.8
2022,Female,Administrative and support service activities (N),29541.0,3.6
2022,Female,Public administration and defence; compulsory social security (O),48840.0,6.1
2022,Female,Education (P),48555.0,4.9
2022,Female,Human health and social work activities (Q),39829.0,4.6
2022,Female,"Arts, entertainment, recreation and other service activities (R,S)",23174.0,-11.0
2022,Female,All NACE economic sectors,37782.0,-0.3
2023,Both sexes,Industry (B to E),47808.0,2.6
2023,Both sexes,Construction (F),42643.0,4.0
2023,Both sexes,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31752.0,3.6
2023,Both sexes,Transportation and storage (H),41609.0,0.4
2023,Both sexes,Accommodation and food service activities (I),24464.0,1.5
2023,Both sexes,Information and communication (J),76002.0,6.3
2023,Both sexes,"Financial, insurance and real estate activities (K,L)",56582.0,2.9
2023,Both sexes,"Professional, scientific and technical activities (M)",49533.0,6.1
2023,Both sexes,Administrative and support service activities (N),35666.0,3.7
2023,Both sexes,Public administration and defence; compulsory social security (O),54760.0,4.4
2023,Both sexes,Education (P),53005.0,2.5
2023,Both sexes,Human health and social work activities (Q),42599.0,5.7
2023,Both sexes,"Arts, entertainment, recreation and other service activities (R,S)",26811.0,3.5
2023,Both sexes,All NACE economic sectors,43221.0,3.3
2023,Male,Industry (B to E),49814.0,2.5
2023,Male,Construction (F),44500.0,4.3
2023,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),37058.0,4.0
2023,Male,Transportation and storage (H),43159.0,0.9
2023,Male,Accommodation and food service activities (I),27497.0,1.2
2023,Male,Information and communication (J),81891.0,6.7
2023,Male,"Financial, insurance and real estate activities (K,L)",68563.0,3.0
2023,Male,"Professional, scientific and technical activities (M)",57800.0,6.4
2023,Male,Administrative and support service activities (N),38848.0,4.5
2023,Male,Public administration and defence; compulsory social security (O),57937.0,5.0
2023,Male,Education (P),61163.0,3.2
2023,Male,Human health and social work activities (Q),45131.0,6.6
2023,Male,"Arts, entertainment, recreation and other service activities (R,S)",32322.0,4.6
2023,Male,All NACE economic sectors,47187.0,3.6
2023,Female,Industry (B to E),43066.0,3.2
2023,Female,Construction (F),30347.0,4.2
2023,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26336.0,4.3
2023,Female,Transportation and storage (H),36640.0,-1.0
2023,Female,Accommodation and food service activities (I),21701.0,1.2
2023,Female,Information and communication (J),65443.0,5.8
2023,Female,"Financial, insurance and real estate activities (K,L)",48423.0,3.0
2023,Female,"Professional, scientific and technical activities (M)",42283.0,5.7
2023,Female,Administrative and support service activities (N),30390.0,2.9
2023,Female,Public administration and defence; compulsory social security (O),50872.0,4.2
2023,Female,Education (P),49835.0,2.6
2023,Female,Human health and social work activities (Q),41927.0,5.3
2023,Female,"Arts, entertainment, recreation and other service activities (R,S)",23873.0,3.0
2023,Female,All NACE economic sectors,39039.0,3.3
